status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
In Progress,2018-04-21T15:42:40.935+0000,NA,rlenferink,2018-04-17T21:47:11.197+0000,NA,rlenferink,Open,rlenferink,AVRO-2170,528,68,4.644946044,NA,AVRO,2018-04-17T21:47:11.197+0000,Non-existent to Open,NA,1,Minor,0,Improvement,2,NA
In Progress,2018-04-21T15:42:40.935+0000,Open,rlenferink,2018-04-18T01:33:19.205+0000,0.15703713,busbey,Patch Available,rlenferink,AVRO-2170,528,68,4.644946044,0.15703713,AVRO,2018-04-17T21:47:11.197+0000,Open to Patch Available,NA,1,Minor,0,Improvement,2,NA
In Progress,2018-04-21T15:42:40.935+0000,Patch Available,rlenferink,2018-04-21T15:42:40.938+0000,3.589834873,busbey,In Progress,rlenferink,AVRO-2170,528,68,4.644946044,3.746872002,AVRO,2018-04-17T21:47:11.197+0000,Patch Available to In Progress,NA,1,Minor,0,Improvement,2,NA
Patch Available,2018-04-01T13:19:20.632+0000,NA,thiru_mg,2018-04-01T13:08:48.480+0000,NA,thiru_mg,Open,NA,AVRO-2165,307,57,24.74448648,NA,AVRO,2018-04-01T13:08:48.480+0000,Non-existent to Open,NA,1,Minor,0,Improvement,1,NA
Patch Available,2018-04-01T13:19:20.632+0000,Open,thiru_mg,2018-04-01T13:19:20.645+0000,0.007316725,thiru_mg,Patch Available,NA,AVRO-2165,307,57,24.74448648,0.007316725,AVRO,2018-04-01T13:08:48.480+0000,Open to Patch Available,NA,1,Minor,0,Improvement,1,NA
Open,2018-03-11T01:15:22.830+0000,NA,blachniet,2018-03-11T01:15:22.830+0000,NA,blachniet,Open,NA,AVRO-2158,837,26,46.24723898,NA,AVRO,2018-03-11T01:15:22.830+0000,Non-existent to Open,NA,0,Minor,0,New Feature,1,NA
Patch Available,2018-03-10T18:39:50.151+0000,NA,blachniet,2018-03-07T01:35:36.723+0000,NA,blachniet,Open,NA,AVRO-2155,257,47,46.52192271,NA,AVRO,2018-03-07T01:35:36.723+0000,Non-existent to Open,NA,2,Minor,0,New Feature,2,NA
Patch Available,2018-03-10T18:39:50.151+0000,Open,blachniet,2018-03-10T18:39:50.156+0000,3.711266586,blachniet,Patch Available,NA,AVRO-2155,257,47,46.52192271,3.711266586,AVRO,2018-03-07T01:35:36.723+0000,Open to Patch Available,NA,2,Minor,0,New Feature,2,NA
Patch Available,2018-04-09T14:44:34.570+0000,NA,nicksbyman,2018-03-03T16:26:37.097+0000,NA,nicksbyman,Open,NA,AVRO-2153,265,66,24.13443585,NA,AVRO,2018-03-03T16:26:37.097+0000,Non-existent to Open,NA,4,Minor,0,Bug,2,NA
Patch Available,2018-04-09T14:44:34.570+0000,Open,nicksbyman,2018-04-02T03:57:49.021+0000,29.47999912,thiru_mg,Patch Available,NA,AVRO-2153,265,66,24.13443585,29.47999912,AVRO,2018-03-03T16:26:37.097+0000,Open to Patch Available,NA,4,Minor,0,Bug,2,NA
Open,2018-02-28T12:40:19.343+0000,NA,xushichang,2018-02-28T12:40:19.343+0000,NA,xushichang,Open,NA,AVRO-2151,2045,51,56.77158491,NA,AVRO,2018-02-28T12:40:19.343+0000,Non-existent to Open,NA,0,Minor,0,Bug,1,NA
Open,2018-02-22T19:26:30.836+0000,NA,zolyfarkas,2018-02-22T19:18:00.936+0000,NA,zolyfarkas,Open,NA,AVRO-2150,240,51,62.49540906,NA,AVRO,2018-02-22T19:18:00.936+0000,Non-existent to Open,NA,1,Minor,0,Improvement,1,NA
Reopened,2018-02-22T00:47:38.296+0000,NA,vishelma,2018-02-13T15:17:17.774+0000,NA,vishelma,Open,vishelma,AVRO-2144,282,54,63.72050165,NA,AVRO,2018-02-13T15:17:17.774+0000,Non-existent to Open,NA,9,Minor,1,Bug,4,NA
Reopened,2018-02-22T00:47:38.296+0000,Open,vishelma,2018-02-14T11:12:00.613+0000,0.829662488,nkollar,Patch Available,vishelma,AVRO-2144,282,54,63.72050165,0.829662488,AVRO,2018-02-13T15:17:17.774+0000,Open to Patch Available,NA,9,Minor,1,Bug,4,NA
Reopened,2018-02-22T00:47:38.296+0000,Patch Available,vishelma,2018-02-16T17:38:25.671+0000,2.268345579,vishelma,Resolved,vishelma,AVRO-2144,282,54,63.72050165,3.098008067,AVRO,2018-02-13T15:17:17.774+0000,Patch Available to Resolved,NA,9,Minor,1,Bug,4,NA
Reopened,2018-02-22T00:47:38.296+0000,Resolved,vishelma,2018-02-21T13:53:52.937+0000,4.844065579,nielsbasjes,Reopened,vishelma,AVRO-2144,282,54,63.72050165,7.942073646,AVRO,2018-02-13T15:17:17.774+0000,Resolved to Reopened,NA,9,Minor,1,Bug,4,NA
Open,2018-02-09T19:04:49.578+0000,NA,ecopoesis,2018-02-09T19:04:49.578+0000,NA,ecopoesis,Open,NA,AVRO-2141,295,41,75.50456831,NA,AVRO,2018-02-09T19:04:49.578+0000,Non-existent to Open,NA,0,Minor,0,New Feature,1,NA
Open,2018-02-03T11:41:52.424+0000,NA,marcoslg,2018-02-02T15:07:51.748+0000,NA,marcoslg,Open,NA,AVRO-2140,944,27,82.66912653,NA,AVRO,2018-02-02T15:07:51.748+0000,Non-existent to Open,NA,2,Minor,0,Improvement,2,NA
Resolved,2018-01-18T10:17:31.884+0000,NA,gszadovszky,2018-01-18T09:09:35.958+0000,NA,gszadovszky,Open,gszadovszky,AVRO-2133,420,16,97.87074523,NA,AVRO,2018-01-18T09:09:35.958+0000,Non-existent to Open,2018-01-18T10:17:31.849+0000,3,Minor,0,Improvement,3,Fixed
Resolved,2018-01-18T10:17:31.884+0000,Open,gszadovszky,2018-01-18T09:11:33.841+0000,0.001364387,gszadovszky,Patch Available,gszadovszky,AVRO-2133,420,16,97.87074523,0.001364387,AVRO,2018-01-18T09:09:35.958+0000,Open to Patch Available,2018-01-18T10:17:31.849+0000,3,Minor,0,Improvement,3,Fixed
Resolved,2018-01-18T10:17:31.884+0000,Patch Available,gszadovszky,2018-01-18T10:17:31.893+0000,0.045810787,gszadovszky,Resolved,gszadovszky,AVRO-2133,420,16,97.87074523,0.047175174,AVRO,2018-01-18T09:09:35.958+0000,Patch Available to Resolved,2018-01-18T10:17:31.849+0000,3,Minor,0,Improvement,3,Fixed
Open,2018-01-12T18:24:51.639+0000,NA,brusser,2018-01-12T18:24:51.639+0000,NA,brusser,Open,NA,AVRO-2129,251,45,103.5323223,NA,AVRO,2018-01-12T18:24:51.639+0000,Non-existent to Open,NA,0,Minor,0,Improvement,1,NA
Patch Available,2018-02-12T13:53:39.658+0000,NA,dbundin,2018-01-09T06:15:16.870+0000,NA,dbundin,Open,dbundin,AVRO-2127,209,68,72.72580877,NA,AVRO,2018-01-09T06:15:16.870+0000,Non-existent to Open,NA,3,Minor,0,Improvement,2,NA
Patch Available,2018-02-12T13:53:39.658+0000,Open,dbundin,2018-02-12T13:46:14.404+0000,34.3131659,busbey,Patch Available,dbundin,AVRO-2127,209,68,72.72580877,34.3131659,AVRO,2018-01-09T06:15:16.870+0000,Open to Patch Available,NA,3,Minor,0,Improvement,2,NA
Open,2018-01-04T01:11:09.834+0000,NA,pviolet,2018-01-04T01:11:09.834+0000,NA,pviolet,Open,NA,AVRO-2124,3729,41,112.2501672,NA,AVRO,2018-01-04T01:11:09.834+0000,Non-existent to Open,NA,0,Minor,0,Bug,1,NA
Open,2017-12-26T01:31:18.791+0000,NA,dsebastien,2017-12-26T01:28:45.485+0000,NA,dsebastien,Open,NA,AVRO-2121,695,69,121.2379491,NA,AVRO,2017-12-26T01:28:45.485+0000,Non-existent to Open,NA,0,Minor,0,Bug,1,NA
Resolved,2017-12-18T18:07:59.350+0000,NA,elmendavies,2017-12-12T13:15:21.428+0000,NA,elmendavies,Open,elmendavies,AVRO-2115,368,29,128.5440385,NA,AVRO,2017-12-12T13:15:21.428+0000,Non-existent to Open,2017-12-18T18:07:59.287+0000,16,Minor,0,Improvement,4,Fixed
Resolved,2017-12-18T18:07:59.350+0000,Open,elmendavies,2017-12-18T18:07:59.361+0000,6.203216817,cutting,Resolved,elmendavies,AVRO-2115,368,29,128.5440385,6.203216817,AVRO,2017-12-12T13:15:21.428+0000,Open to Resolved,2017-12-18T18:07:59.287+0000,16,Minor,0,Improvement,4,Fixed
Resolved,2017-12-18T10:49:57.126+0000,NA,nielsbasjes,2017-12-12T11:08:43.979+0000,NA,nielsbasjes,Open,nielsbasjes,AVRO-2114,3388,66,131.449959,NA,AVRO,2017-12-12T11:08:43.979+0000,Non-existent to Open,2017-12-15T20:23:27.749+0000,6,Minor,0,Improvement,3,Fixed
Resolved,2017-12-18T10:49:57.126+0000,Open,nielsbasjes,2017-12-15T20:23:27.822+0000,3.385229664,nielsbasjes,Resolved,nielsbasjes,AVRO-2114,3388,66,131.449959,3.385229664,AVRO,2017-12-12T11:08:43.979+0000,Open to Resolved,2017-12-15T20:23:27.749+0000,6,Minor,0,Improvement,3,Fixed
Resolved,2018-04-03T14:18:12.736+0000,NA,vimota,2017-12-08T18:15:08.745+0000,NA,vimota,Open,thiru_mg,AVRO-2113,547,37,22.70360587,NA,AVRO,2017-12-08T18:15:08.745+0000,Non-existent to Open,2018-04-03T14:18:12.712+0000,6,Minor,1,Improvement,5,Fixed
Resolved,2018-04-03T14:18:12.736+0000,Open,vimota,2018-04-02T03:53:09.349+0000,114.4013959,thiru_mg,Patch Available,thiru_mg,AVRO-2113,547,37,22.70360587,114.4013959,AVRO,2017-12-08T18:15:08.745+0000,Open to Patch Available,2018-04-03T14:18:12.712+0000,6,Minor,1,Improvement,5,Fixed
Resolved,2018-04-03T14:18:12.736+0000,Patch Available,vimota,2018-04-03T14:18:12.737+0000,1.434066991,thiru_mg,Resolved,thiru_mg,AVRO-2113,547,37,22.70360587,115.8354629,AVRO,2017-12-08T18:15:08.745+0000,Patch Available to Resolved,2018-04-03T14:18:12.712+0000,6,Minor,1,Improvement,5,Fixed
Patch Available,2018-04-18T02:17:56.143+0000,NA,moljac,2017-12-08T14:07:55.043+0000,NA,moljac,Open,moljac,AVRO-2112,448,68,72.71592945,NA,AVRO,2017-12-08T14:07:55.043+0000,Non-existent to Open,NA,8,Minor,2,Improvement,4,NA
Patch Available,2018-04-18T02:17:56.143+0000,Open,moljac,2018-02-12T14:00:27.980+0000,65.99482566,busbey,Patch Available,moljac,AVRO-2112,448,68,72.71592945,65.99482566,AVRO,2017-12-08T14:07:55.043+0000,Open to Patch Available,NA,8,Minor,2,Improvement,4,NA
