status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Resolved,Major,2018-04-24T06:34:37.360+0000,Bug,jmukesh,2018-04-05T13:21:01.183+0000,2018-04-24T06:34:37.339+0000,0,AVRO,NA,1,AVRO-2168,272,64,1,Not A Bug,2.025536052
Resolved,Major,2018-04-24T06:34:15.849+0000,Bug,jmukesh,2018-04-04T16:39:43.364+0000,2018-04-24T06:34:15.829+0000,0,AVRO,NA,0,AVRO-2167,674,53,1,Not A Bug,2.025785093
Resolved,Major,2018-04-24T06:32:37.556+0000,Bug,jmukesh,2018-04-04T16:29:37.306+0000,2018-04-24T06:32:37.535+0000,0,AVRO,NA,1,AVRO-2166,1043,39,2,Not A Bug,2.026922664
Open,Critical,2018-04-19T23:41:09.873+0000,Bug,Prevost,2018-03-15T21:24:19.154+0000,NA,0,AVRO,NA,0,AVRO-2160,2035,61,1,NA,41.40769134
Resolved,Trivial,2018-03-14T16:45:08.597+0000,Bug,maxenglander,2018-03-09T06:18:47.199+0000,2018-03-14T16:45:08.577+0000,0,AVRO,maxenglander,3,AVRO-2157,825,82,2,Fixed,42.60156348
Open,Major,2018-03-06T11:20:55.396+0000,Bug,codemug,2018-03-05T18:43:59.681+0000,NA,1,AVRO,NA,1,AVRO-2154,963,61,1,NA,51.51902784
Patch Available,Minor,2018-04-09T14:44:34.570+0000,Bug,nicksbyman,2018-03-03T16:26:37.097+0000,NA,0,AVRO,NA,4,AVRO-2153,265,66,2,NA,24.134429
Resolved,Trivial,2018-03-05T21:33:13.006+0000,Bug,phaas,2018-03-02T18:35:14.411+0000,2018-03-05T20:48:34.369+0000,0,AVRO,NA,5,AVRO-2152,1118,63,3,Invalid,51.43251502
Open,Minor,2018-02-28T12:40:19.343+0000,Bug,xushichang,2018-02-28T12:40:19.343+0000,NA,0,AVRO,NA,0,AVRO-2151,2045,51,1,NA,56.77157806
Open,Major,2018-02-19T08:46:52.047+0000,Bug,laki,2018-02-16T17:39:17.786+0000,NA,0,AVRO,NA,1,AVRO-2146,4651,46,2,NA,68.56395719
Open,Major,2018-02-14T09:53:26.581+0000,Bug,nkollar,2018-02-14T09:53:26.581+0000,NA,0,AVRO,NA,0,AVRO-2145,99,32,1,NA,70.88746651
Reopened,Minor,2018-02-22T00:47:38.296+0000,Bug,vishelma,2018-02-13T15:17:17.774+0000,NA,1,AVRO,vishelma,9,AVRO-2144,282,54,4,NA,63.7204948
Open,Critical,2018-02-14T13:04:59.622+0000,Bug,aukevanleeuwen,2018-02-01T07:52:18.313+0000,NA,1,AVRO,NA,2,AVRO-2139,1949,75,2,NA,83.97158999
Open,Major,2018-02-02T21:03:06.318+0000,Bug,srosenberg,2018-01-30T23:39:02.779+0000,NA,0,AVRO,NA,1,AVRO-2138,415,101,1,NA,85.3141309
Open,Major,2018-01-29T13:33:17.170+0000,Bug,asethia,2018-01-29T02:31:26.495+0000,NA,0,AVRO,NA,0,AVRO-2137,2229,48,1,NA,87.19441196
Open,Critical,2018-01-28T23:36:30.867+0000,Bug,njrbalu,2018-01-28T23:36:30.867+0000,NA,0,AVRO,NA,0,AVRO-2136,284,55,1,NA,87.31588914
Open,Major,2018-01-27T12:03:17.934+0000,Bug,isopov,2018-01-27T12:03:17.934+0000,NA,0,AVRO,NA,0,AVRO-2135,1020,63,1,NA,88.79728883
Open,Major,2018-01-19T16:01:32.943+0000,Bug,gogiraghu,2018-01-19T04:40:59.323+0000,NA,0,AVRO,NA,0,AVRO-2134,907,48,1,NA,97.10444868
Open,Major,2018-01-17T22:59:46.376+0000,Bug,jeff.maxwell,2018-01-17T22:52:57.690+0000,NA,0,AVRO,NA,2,AVRO-2131,1528,55,2,NA,98.34613425
Open,Major,2018-01-11T12:44:38.833+0000,Bug,zi,2018-01-11T12:21:11.105+0000,NA,0,AVRO,NA,0,AVRO-2128,1777,105,2,NA,104.7848679
Open,Major,2018-01-04T14:02:14.510+0000,Bug,pederpansen,2018-01-04T14:02:14.510+0000,NA,0,AVRO,NA,0,AVRO-2126,757,89,1,NA,111.7146896
Resolved,Major,2018-01-16T13:04:37.187+0000,Bug,Andreas_C,2018-01-04T10:51:03.043+0000,2018-01-16T13:04:37.163+0000,0,AVRO,NA,5,AVRO-2125,3869,33,2,Not A Bug,99.75470486
Open,Minor,2018-01-04T01:11:09.834+0000,Bug,pviolet,2018-01-04T01:11:09.834+0000,NA,0,AVRO,NA,0,AVRO-2124,3729,41,1,NA,112.2501604
Open,Critical,2018-01-03T23:36:54.744+0000,Bug,flinkai,2018-01-03T23:36:54.744+0000,NA,0,AVRO,NA,0,AVRO-2123,3776,73,1,NA,112.3156128
