status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Open,2018-03-15T03:11:17.554+0000,NA,howellbridger,2018-03-15T03:11:17.554+0000,NA,howellbridger,Open,NA,AVRO-2159,6157,60,42.16674449,NA,AVRO,2018-03-15T03:11:17.554+0000,Non-existent to Open,NA,0,Major,1,New Feature,2,NA
Open,2018-03-11T01:15:22.830+0000,NA,blachniet,2018-03-11T01:15:22.830+0000,NA,blachniet,Open,NA,AVRO-2158,837,26,46.24723898,NA,AVRO,2018-03-11T01:15:22.830+0000,Non-existent to Open,NA,0,Minor,0,New Feature,1,NA
Patch Available,2018-03-11T00:14:54.591+0000,NA,blachniet,2018-03-07T01:43:27.422+0000,NA,blachniet,Open,NA,AVRO-2156,332,44,46.28923242,NA,AVRO,2018-03-07T01:43:27.422+0000,Non-existent to Open,NA,2,Major,0,New Feature,2,NA
Patch Available,2018-03-11T00:14:54.591+0000,Open,blachniet,2018-03-11T00:14:54.597+0000,3.93850897,blachniet,Patch Available,NA,AVRO-2156,332,44,46.28923242,3.93850897,AVRO,2018-03-07T01:43:27.422+0000,Open to Patch Available,NA,2,Major,0,New Feature,2,NA
Patch Available,2018-03-10T18:39:50.151+0000,NA,blachniet,2018-03-07T01:35:36.723+0000,NA,blachniet,Open,NA,AVRO-2155,257,47,46.52192271,NA,AVRO,2018-03-07T01:35:36.723+0000,Non-existent to Open,NA,2,Minor,0,New Feature,2,NA
Patch Available,2018-03-10T18:39:50.151+0000,Open,blachniet,2018-03-10T18:39:50.156+0000,3.711266586,blachniet,Patch Available,NA,AVRO-2155,257,47,46.52192271,3.711266586,AVRO,2018-03-07T01:35:36.723+0000,Open to Patch Available,NA,2,Minor,0,New Feature,2,NA
Open,2018-02-09T19:04:49.578+0000,NA,ecopoesis,2018-02-09T19:04:49.578+0000,NA,ecopoesis,Open,NA,AVRO-2141,295,41,75.50456831,NA,AVRO,2018-02-09T19:04:49.578+0000,Non-existent to Open,NA,0,Minor,0,New Feature,1,NA
Open,2017-10-20T13:57:56.842+0000,NA,thebothead,2017-10-20T13:23:54.929+0000,NA,thebothead,Open,NA,AVRO-2098,2222,41,187.741312,NA,AVRO,2017-10-20T13:23:54.929+0000,Non-existent to Open,NA,1,Minor,0,New Feature,2,NA
Resolved,2017-11-27T19:36:43.791+0000,NA,karthikus,2017-10-09T21:33:57.218+0000,NA,karthikus,Open,thiru_mg,AVRO-2095,4273,68,149.4824129,NA,AVRO,2017-10-09T21:33:57.218+0000,Non-existent to Open,2017-11-27T19:36:43.748+0000,5,Major,0,New Feature,2,Not A Problem
Resolved,2017-11-27T19:36:43.791+0000,Open,karthikus,2017-11-27T19:36:43.812+0000,48.91859484,karthikus,Resolved,thiru_mg,AVRO-2095,4273,68,149.4824129,48.91859484,AVRO,2017-10-09T21:33:57.218+0000,Open to Resolved,2017-11-27T19:36:43.748+0000,5,Major,0,New Feature,2,Not A Problem
Open,2017-10-17T07:57:16.025+0000,NA,zi,2017-10-05T15:20:33.579+0000,NA,zi,Open,NA,AVRO-2087,1515,72,202.6603091,NA,AVRO,2017-10-05T15:20:33.579+0000,Non-existent to Open,NA,0,Major,0,New Feature,1,NA
Open,2018-01-29T14:24:23.073+0000,NA,nkollar,2017-09-18T12:05:04.906+0000,NA,nkollar,Open,nkollar,AVRO-2077,333,69,219.7960577,NA,AVRO,2017-09-18T12:05:04.906+0000,Non-existent to Open,NA,6,Minor,2,New Feature,4,NA
Resolved,2017-09-12T12:39:08.161+0000,NA,gszadovszky,2017-07-28T07:26:54.109+0000,NA,gszadovszky,Open,gszadovszky,AVRO-2059,59,26,225.7724088,NA,AVRO,2017-07-28T07:26:54.109+0000,Non-existent to Open,2017-09-12T12:39:08.100+0000,5,Major,0,New Feature,5,Fixed
Resolved,2017-09-12T12:39:08.161+0000,Open,gszadovszky,2017-08-01T07:26:09.817+0000,3.999487361,gszadovszky,Patch Available,gszadovszky,AVRO-2059,59,26,225.7724088,3.999487361,AVRO,2017-07-28T07:26:54.109+0000,Open to Patch Available,2017-09-12T12:39:08.100+0000,5,Major,0,New Feature,5,Fixed
Resolved,2017-09-12T12:39:08.161+0000,Patch Available,gszadovszky,2017-09-12T12:39:08.171+0000,42.21734206,gszadovszky,Resolved,gszadovszky,AVRO-2059,59,26,225.7724088,46.21682942,AVRO,2017-07-28T07:26:54.109+0000,Patch Available to Resolved,2017-09-12T12:39:08.100+0000,5,Major,0,New Feature,5,Fixed
Resolved,2017-04-03T23:37:26.255+0000,NA,wandersen02,2017-02-15T19:37:16.478+0000,NA,wandersen02,Open,wandersen02,AVRO-2001,1196,56,387.3287858,NA,AVRO,2017-02-15T19:37:16.478+0000,Non-existent to Open,2017-04-03T23:17:57.163+0000,6,Minor,0,New Feature,5,Fixed
Resolved,2017-04-03T23:37:26.255+0000,Open,wandersen02,2017-04-03T23:17:57.208+0000,47.15324919,sacharya,Resolved,wandersen02,AVRO-2001,1196,56,387.3287858,47.15324919,AVRO,2017-02-15T19:37:16.478+0000,Open to Resolved,2017-04-03T23:17:57.163+0000,6,Minor,0,New Feature,5,Fixed
Open,2016-12-30T21:57:22.479+0000,NA,martinxsliu,2016-12-30T20:29:19.621+0000,NA,martinxsliu,Open,NA,AVRO-1974,427,33,481.4458876,NA,AVRO,2016-12-30T20:29:19.621+0000,Non-existent to Open,NA,1,Major,1,New Feature,2,NA
Open,2017-01-31T18:49:36.881+0000,NA,nielsbasjes,2016-11-22T10:58:36.068+0000,NA,nielsbasjes,Open,nielsbasjes,AVRO-1961,120,47,519.842225,NA,AVRO,2016-11-22T10:58:36.068+0000,Non-existent to Open,NA,22,Minor,3,New Feature,10,NA
Open,2016-09-19T18:38:08.950+0000,NA,jpivarski,2016-09-19T18:38:08.950+0000,NA,jpivarski,Open,NA,AVRO-1922,2062,25,583.5230945,NA,AVRO,2016-09-19T18:38:08.950+0000,Non-existent to Open,NA,0,Major,0,New Feature,2,NA
Patch Available,2016-11-24T08:57:21.021+0000,NA,fboucher38,2016-08-30T14:13:31.455+0000,NA,fboucher38,Open,NA,AVRO-1903,817,48,601.611518,NA,AVRO,2016-08-30T14:13:31.455+0000,Non-existent to Open,NA,3,Major,0,New Feature,2,NA
Patch Available,2016-11-24T08:57:21.021+0000,Open,fboucher38,2016-08-30T14:14:36.866+0000,0.000757072,fboucher38,Patch Available,NA,AVRO-1903,817,48,601.611518,0.000757072,AVRO,2016-08-30T14:13:31.455+0000,Open to Patch Available,NA,3,Major,0,New Feature,2,NA
Patch Available,2016-11-24T08:57:21.021+0000,Patch Available,fboucher38,2016-08-30T14:16:34.538+0000,0.001361944,fboucher38,Open,NA,AVRO-1903,817,48,601.611518,0.002119016,AVRO,2016-08-30T14:13:31.455+0000,Patch Available to Open,NA,3,Major,0,New Feature,2,NA
Patch Available,2016-11-24T08:57:21.021+0000,Open,fboucher38,2016-09-01T16:30:49.162+0000,2.093224815,fboucher38,Patch Available,NA,AVRO-1903,817,48,601.611518,2.095343831,AVRO,2016-08-30T14:13:31.455+0000,Open to Patch Available,NA,3,Major,0,New Feature,2,NA
Resolved,2017-04-02T21:46:30.131+0000,NA,Yibing,2016-05-18T14:28:43.374+0000,NA,Yibing,Open,Yibing,AVRO-1847,296,69,672.3768455,NA,AVRO,2016-05-18T14:28:43.374+0000,Non-existent to Open,2016-06-22T22:08:44.701+0000,63,Major,0,New Feature,5,Fixed
Resolved,2017-04-02T21:46:30.131+0000,Open,Yibing,2016-05-18T14:34:58.268+0000,0.004339051,Yibing,Patch Available,Yibing,AVRO-1847,296,69,672.3768455,0.004339051,AVRO,2016-05-18T14:28:43.374+0000,Open to Patch Available,2016-06-22T22:08:44.701+0000,63,Major,0,New Feature,5,Fixed
Resolved,2017-04-02T21:46:30.131+0000,Patch Available,Yibing,2016-06-22T22:08:44.879+0000,35.31512281,busbey,Resolved,Yibing,AVRO-1847,296,69,672.3768455,35.31946186,AVRO,2016-05-18T14:28:43.374+0000,Patch Available to Resolved,2016-06-22T22:08:44.701+0000,63,Major,0,New Feature,5,Fixed
Open,2018-03-29T23:54:35.612+0000,NA,abrar,2016-04-29T05:44:29.196+0000,NA,abrar,Open,NA,AVRO-1837,93,66,727.0603603,NA,AVRO,2016-04-29T05:44:29.196+0000,Non-existent to Open,NA,14,Major,2,New Feature,4,NA
Resolved,2016-05-24T15:14:55.515+0000,NA,rdblue,2016-04-21T04:55:29.014+0000,NA,rdblue,Open,rdblue,AVRO-1833,90,13,702.5656903,NA,AVRO,2016-04-21T04:55:29.014+0000,Non-existent to Open,2016-05-23T17:36:48.633+0000,7,Major,0,New Feature,6,Fixed
Resolved,2016-05-24T15:14:55.515+0000,Open,rdblue,2016-05-21T22:33:47.030+0000,30.73493074,rdblue,In Progress,rdblue,AVRO-1833,90,13,702.5656903,30.73493074,AVRO,2016-04-21T04:55:29.014+0000,Open to In Progress,2016-05-23T17:36:48.633+0000,7,Major,0,New Feature,6,Fixed
Resolved,2016-05-24T15:14:55.515+0000,In Progress,rdblue,2016-05-23T17:36:48.685+0000,1.793769155,rdblue,Resolved,rdblue,AVRO-1833,90,13,702.5656903,32.5286999,AVRO,2016-04-21T04:55:29.014+0000,In Progress to Resolved,2016-05-23T17:36:48.633+0000,7,Major,0,New Feature,6,Fixed
Patch Available,2018-02-27T03:18:59.236+0000,NA,premsantosh,2016-03-28T18:01:43.220+0000,NA,premsantosh,Open,premsantosh,AVRO-1816,230,52,452.8542163,NA,AVRO,2016-03-28T18:01:43.220+0000,Non-existent to Open,NA,4,Major,1,New Feature,6,NA
Patch Available,2018-02-27T03:18:59.236+0000,Open,premsantosh,2017-01-28T10:41:20.048+0000,305.6941763,busbey,Patch Available,premsantosh,AVRO-1816,230,52,452.8542163,305.6941763,AVRO,2016-03-28T18:01:43.220+0000,Open to Patch Available,NA,4,Major,1,New Feature,6,NA
Open,2016-01-26T22:37:16.420+0000,NA,djudd,2015-12-31T01:27:44.081+0000,NA,djudd,Open,NA,AVRO-1776,271,15,847.2386604,NA,AVRO,2015-12-31T01:27:44.081+0000,Non-existent to Open,NA,3,Minor,0,New Feature,4,NA
Open,2017-12-10T14:26:49.511+0000,NA,embs,2015-10-14T18:32:53.556+0000,NA,embs,Open,NA,AVRO-1749,338,81,924.5267452,NA,AVRO,2015-10-14T18:32:53.556+0000,Non-existent to Open,NA,6,Minor,2,New Feature,4,NA
Resolved,2017-02-21T09:18:08.683+0000,NA,jlangley,2015-10-14T03:09:45.122+0000,NA,jlangley,Open,jlangley,AVRO-1748,113,38,428.9119868,NA,AVRO,2015-10-14T03:09:45.122+0000,Non-existent to Open,2017-02-21T09:18:08.621+0000,2,Major,1,New Feature,4,Fixed
Resolved,2017-02-21T09:18:08.683+0000,Open,jlangley,2017-02-14T12:00:49.329+0000,489.3687987,thiru_mg,Patch Available,jlangley,AVRO-1748,113,38,428.9119868,489.3687987,AVRO,2015-10-14T03:09:45.122+0000,Open to Patch Available,2017-02-21T09:18:08.621+0000,2,Major,1,New Feature,4,Fixed
Resolved,2017-02-21T09:18:08.683+0000,Patch Available,jlangley,2017-02-21T09:18:08.685+0000,6.887029583,thiru_mg,Resolved,jlangley,AVRO-1748,113,38,428.9119868,496.2558283,AVRO,2015-10-14T03:09:45.122+0000,Patch Available to Resolved,2017-02-21T09:18:08.621+0000,2,Major,1,New Feature,4,Fixed
Open,2016-02-04T22:53:45.780+0000,NA,yadavsaroj,2015-10-13T17:12:56.134+0000,NA,yadavsaroj,Open,NA,AVRO-1746,98,33,925.582271,NA,AVRO,2015-10-13T17:12:56.134+0000,Non-existent to Open,NA,16,Major,0,New Feature,3,NA
Patch Available,2015-12-16T19:33:59.724+0000,NA,marks1900,2015-10-06T14:45:16.491+0000,NA,marks1900,Open,NA,AVRO-1744,913,70,932.5250059,NA,AVRO,2015-10-06T14:45:16.491+0000,Non-existent to Open,NA,4,Major,0,New Feature,2,NA
Patch Available,2015-12-16T19:33:59.724+0000,Open,marks1900,2015-10-06T18:30:56.546+0000,0.1567136,marks1900,Patch Available,NA,AVRO-1744,913,70,932.5250059,0.1567136,AVRO,2015-10-06T14:45:16.491+0000,Open to Patch Available,NA,4,Major,0,New Feature,2,NA
Patch Available,2015-12-16T19:33:59.724+0000,Patch Available,marks1900,2015-10-06T18:31:19.392+0000,0.000264421,marks1900,Open,NA,AVRO-1744,913,70,932.5250059,0.156978021,AVRO,2015-10-06T14:45:16.491+0000,Patch Available to Open,NA,4,Major,0,New Feature,2,NA
Patch Available,2015-12-16T19:33:59.724+0000,Open,marks1900,2015-10-06T18:35:23.833+0000,0.002829178,marks1900,Patch Available,NA,AVRO-1744,913,70,932.5250059,0.159807199,AVRO,2015-10-06T14:45:16.491+0000,Open to Patch Available,NA,4,Major,0,New Feature,2,NA
Open,2017-02-22T17:45:44.525+0000,NA,busbey,2015-09-12T15:24:03.182+0000,NA,busbey,Open,busbey,AVRO-1738,284,48,888.1755684,NA,AVRO,2015-09-12T15:24:03.182+0000,Non-existent to Open,NA,14,Major,0,New Feature,3,NA
Open,2017-02-22T17:45:44.525+0000,Open,busbey,2015-09-12T15:24:09.378+0000,7.17E-05,busbey,In Progress,busbey,AVRO-1738,284,48,888.1755684,7.17E-05,AVRO,2015-09-12T15:24:03.182+0000,Open to In Progress,NA,14,Major,0,New Feature,3,NA
