status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2017-10-13T00:54:48.825+0000,NA,sacharya,2017-08-04T03:40:21.189+0000,NA,sacharya,Open,sacharya,AVRO-2062,53,28,195.2615216,NA,AVRO,2017-08-04T03:40:21.189+0000,Non-existent to Open,2017-10-13T00:54:41.491+0000,1,Blocker,0,Sub-task,1,Fixed
Closed,2017-10-13T00:54:48.825+0000,Open,sacharya,2017-10-13T00:54:41.539+0000,69.88495775,sacharya,Resolved,sacharya,AVRO-2062,53,28,195.2615216,69.88495775,AVRO,2017-08-04T03:40:21.189+0000,Open to Resolved,2017-10-13T00:54:41.491+0000,1,Blocker,0,Sub-task,1,Fixed
Closed,2017-10-13T00:54:48.825+0000,Resolved,sacharya,2017-10-13T00:54:48.828+0000,8.44E-05,sacharya,Closed,sacharya,AVRO-2062,53,28,195.2615216,69.88504212,AVRO,2017-08-04T03:40:21.189+0000,Resolved to Closed,2017-10-13T00:54:41.491+0000,1,Blocker,0,Sub-task,1,Fixed
Open,2016-03-03T08:12:35.079+0000,NA,salmansaifi7,2016-03-03T08:12:33.185+0000,NA,salmansaifi7,Open,NA,AVRO-1805,NA,58,783.9575365,NA,AVRO,2016-03-03T08:12:33.185+0000,Non-existent to Open,NA,0,Major,0,Sub-task,1,NA
Closed,2016-02-01T14:56:08.148+0000,NA,vincentye38,2015-12-23T21:39:14.392+0000,NA,vincentye38,Open,NA,AVRO-1773,410,38,814.6772707,NA,AVRO,2015-12-23T21:39:14.392+0000,Non-existent to Open,2016-01-13T18:18:41.923+0000,4,Critical,0,Sub-task,2,Fixed
Closed,2016-02-01T14:56:08.148+0000,Open,vincentye38,2016-01-13T18:18:41.963+0000,20.86073578,rdblue,Resolved,NA,AVRO-1773,410,38,814.6772707,20.86073578,AVRO,2015-12-23T21:39:14.392+0000,Open to Resolved,2016-01-13T18:18:41.923+0000,4,Critical,0,Sub-task,2,Fixed
Closed,2016-02-01T14:56:08.148+0000,Resolved,vincentye38,2016-02-01T14:56:08.150+0000,18.85933087,tomwhite,Closed,NA,AVRO-1773,410,38,814.6772707,39.72006664,AVRO,2015-12-23T21:39:14.392+0000,Resolved to Closed,2016-01-13T18:18:41.923+0000,4,Critical,0,Sub-task,2,Fixed
Closed,2017-07-20T05:43:58.105+0000,NA,rdblue,2015-12-21T18:16:07.299+0000,NA,rdblue,Open,rdblue,AVRO-1771,217,43,814.6775183,NA,AVRO,2015-12-21T18:16:07.299+0000,Non-existent to Open,2016-01-06T12:07:15.438+0000,5,Major,0,Sub-task,4,Fixed
Closed,2017-07-20T05:43:58.105+0000,Open,rdblue,2015-12-21T21:17:01.597+0000,0.125628449,rdblue,In Progress,rdblue,AVRO-1771,217,43,814.6775183,0.125628449,AVRO,2015-12-21T18:16:07.299+0000,Open to In Progress,2016-01-06T12:07:15.438+0000,5,Major,0,Sub-task,4,Fixed
Closed,2017-07-20T05:43:58.105+0000,In Progress,rdblue,2015-12-21T21:17:13.276+0000,0.000135174,rdblue,Patch Available,rdblue,AVRO-1771,217,43,814.6775183,0.125763623,AVRO,2015-12-21T18:16:07.299+0000,In Progress to Patch Available,2016-01-06T12:07:15.438+0000,5,Major,0,Sub-task,4,Fixed
Closed,2017-07-20T05:43:58.105+0000,Patch Available,rdblue,2016-01-06T12:07:15.485+0000,15.61808112,tomwhite,Resolved,rdblue,AVRO-1771,217,43,814.6775183,15.74384475,AVRO,2015-12-21T18:16:07.299+0000,Patch Available to Resolved,2016-01-06T12:07:15.438+0000,5,Major,0,Sub-task,4,Fixed
Closed,2017-07-20T05:43:58.105+0000,Resolved,rdblue,2016-02-01T14:55:46.757+0000,26.11702861,tomwhite,Closed,rdblue,AVRO-1771,217,43,814.6775183,41.86087336,AVRO,2015-12-21T18:16:07.299+0000,Resolved to Closed,2016-01-06T12:07:15.438+0000,5,Major,0,Sub-task,4,Fixed
Closed,2017-07-20T05:43:50.841+0000,NA,rdblue,2015-09-11T19:44:39.865+0000,NA,rdblue,Open,rdblue,AVRO-1736,NA,65,814.6772865,NA,AVRO,2015-09-11T19:44:39.865+0000,Non-existent to Open,2015-12-03T17:25:35.507+0000,4,Major,0,Sub-task,3,Fixed
Closed,2017-07-20T05:43:50.841+0000,Open,rdblue,2015-12-03T01:01:38.218+0000,82.22011983,rdblue,Patch Available,rdblue,AVRO-1736,NA,65,814.6772865,82.22011983,AVRO,2015-09-11T19:44:39.865+0000,Open to Patch Available,2015-12-03T17:25:35.507+0000,4,Major,0,Sub-task,3,Fixed
Closed,2017-07-20T05:43:50.841+0000,Patch Available,rdblue,2015-12-03T17:25:35.546+0000,0.683302407,rdblue,Resolved,rdblue,AVRO-1736,NA,65,814.6772865,82.90342223,AVRO,2015-09-11T19:44:39.865+0000,Patch Available to Resolved,2015-12-03T17:25:35.507+0000,4,Major,0,Sub-task,3,Fixed
Closed,2017-07-20T05:43:50.841+0000,Resolved,rdblue,2016-02-01T14:56:06.791+0000,59.89619497,tomwhite,Closed,rdblue,AVRO-1736,NA,65,814.6772865,142.7996172,AVRO,2015-09-11T19:44:39.865+0000,Resolved to Closed,2015-12-03T17:25:35.507+0000,4,Major,0,Sub-task,3,Fixed
